Wavelength, nm	protein, t=0	t=660 min	t=900 min	t=1290 min	t=1320 min	t=1350 min	AF, t=1500 min
194.2	-4.7988	-5.4425	-6.231	-4.0911	-1.6526	0.9456	3.4732
194	-4.5801	-5.2462	-6.0329	-3.9209	-1.5302	0.9896	3.3421
193.8	-4.3589	-5.0477	-5.8378	-3.7529	-1.4074	1.0274	3.2108
193.6	-4.1313	-4.848	-5.6477	-3.5871	-1.2847	1.0584	3.0792
193.4	-3.8977	-4.6405	-5.4621	-3.4215	-1.1567	1.0863	2.9448
193.2	-3.6551	-4.4278	-5.2867	-3.2568	-1.0247	1.1092	2.808
193	-3.4034	-4.2095	-5.1234	-3.0943	-0.8899	1.1289	2.6691
192.8	-3.1462	-3.988	-4.9705	-2.9324	-0.7546	1.1452	2.5335
192.6	-2.888	-3.765	-4.8278	-2.7732	-0.6188	1.1581	2.3975
192.4	-2.6334	-3.5413	-4.6897	-2.6196	-0.4837	1.1654	2.2607
192.2	-2.3912	-3.3262	-4.5579	-2.4744	-0.3552	1.1692	2.1309
192	-2.16	-3.1223	-4.4344	-2.3394	-0.2368	1.1672	2.0088
191.8	-1.9371	-2.9305	-4.3179	-2.2143	-0.1274	1.1606	1.8944
191.6	-1.7232	-2.7492	-4.211	-2.0981	-0.0245	1.1493	1.7845
191.4	-1.5174	-2.5763	-4.1127	-1.9907	0.0753	1.1378	1.6789
191.2	-1.3227	-2.4134	-4.0266	-1.8933	0.1701	1.1264	1.5776
191	-1.1372	-2.2617	-3.953	-1.8067	0.2597	1.1143	1.4844
190.8	-0.9618	-2.1214	-3.89	-1.7318	0.3428	1.0983	1.3993
190.6	-0.7953	-1.9919	-3.8385	-1.6725	0.4215	1.0767	1.3231
190.4	-0.6393	-1.8711	-3.7968	-1.6274	0.4949	1.0505	1.2535
190.2	-0.4934	-1.7595	-3.7642	-1.593	0.5628	1.0206	1.1902
190	-0.3602	-1.6561	-3.7401	-1.564	0.6233	0.9883	1.1333
